scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 m,P237-2_6_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,P237-2_6_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.9999162167992528,Coniferous Swamp,WAT,8.378320074717227e-5,Clear Open Water,1
100 m,P237-2_6_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.8534242181186054,Coniferous Swamp,WAT,0.14390459540048078,Clear Open Water,0.9973288135190861
1 km,P237-2_6_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.35813852167472415,Coniferous Swamp,TrBOG,0.32151125761053145,Treed Bog,0.6796497792852556
1 m,P238-2_116_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P238-2_116_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.6208284696458658,Open Bog,TrBOG,0.23989188991189384,Treed Bog,0.8607203595577596
100 m,P238-2_116_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.6759833797123772,Open Bog,OFEN,0.16861248470397394,Open Fen,0.8445958644163511
1 km,P238-2_116_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.3158135276785617,Treed Bog,OBOG,0.3009461726090783,Open Bog,0.6167597002876399
1 m,P245-1_9_GRTS_PossibleCaARU_sample_draw_base,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,P245-1_9_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.7702218795182217,Coniferous Swamp,TrFEN,0.22977812048177823,Treed Fen,1
100 m,P245-1_9_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.7247630599457523,Coniferous Swamp,TrFEN,0.27523694005424765,Treed Fen,1
1 km,P245-1_9_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.34102793291665695,Coniferous Swamp,TrBOG,0.24790948653518596,Treed Bog,0.5889374194518429
1 m,P245-3_11_GRTS_PossibleCaARU_sample_draw_base,OFEN,1,Open Fen,NA,NA,NA,NA
