scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 m,120_P161-3_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,120_P161-3_2025_peat_sites_1028,OFEN,0.8024105119470673,Open Fen,OBOG,0.1975894880529327,Open Bog,1
100 m,120_P161-3_2025_peat_sites_1028,OFEN,0.5298969054513145,Open Fen,OBOG,0.47010309454868543,Open Bog,1
1 km,120_P161-3_2025_peat_sites_1028,OFEN,0.6440432144386831,Open Fen,OBOG,0.16929205483419496,Open Bog,0.813335269272878
1 m,121_P161-6_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,121_P161-6_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
100 m,121_P161-6_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
1 km,121_P161-6_2025_peat_sites_1028,OFEN,0.890615973551046,Open Fen,OBOG,0.0636108679891792,Open Bog,0.9542268415402253
1 m,122_P161-7_2025_peat_sites_1028,ConSWA,1,Coniferous Swamp,NA,NA,NA,NA
50 m,122_P161-7_2025_peat_sites_1028,ConSWA,0.778388689073715,Coniferous Swamp,OBOG,0.2216113109262851,Open Bog,1
100 m,122_P161-7_2025_peat_sites_1028,ConSWA,0.5362761776041721,Coniferous Swamp,OBOG,0.22503311576683996,Open Bog,0.761309293371012
1 km,122_P161-7_2025_peat_sites_1028,TrBOG,0.34715941908430936,Treed Bog,ConSWA,0.17842254633036553,Coniferous Swamp,0.525581965414675
1 m,123_P329-2_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,123_P329-2_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,123_P329-2_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
1 km,123_P329-2_2025_peat_sites_1028,TrBOG,0.36336002691850594,Treed Bog,OBOG,0.22769825196798768,Open Bog,0.5910582788864936
1 m,124_P329-3_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,124_P329-3_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
100 m,124_P329-3_2025_peat_sites_1028,TrFEN,0.7858125012168549,Treed Fen,OFEN,0.20665712424427093,Open Fen,0.9924696254611258
